date,양극재,isPartial
2022-06-26,28,False
2022-07-03,30,False
2022-07-10,29,False
2022-07-17,51,False
2022-07-24,36,False
2022-07-31,37,False
2022-08-07,25,False
2022-08-14,33,False
2022-08-21,28,False
2022-08-28,26,False
2022-09-04,25,False
2022-09-11,45,False
2022-09-18,38,False
2022-09-25,41,False
2022-10-02,44,False
2022-10-09,72,False
2022-10-16,42,False
2022-10-23,31,False
2022-10-30,44,False
2022-11-06,54,False
2022-11-13,68,False
2022-11-20,54,False
2022-11-27,46,False
2022-12-04,44,False
2022-12-11,36,False
2022-12-18,34,False
2022-12-25,35,False
2023-01-01,35,False
2023-01-08,40,False
2023-01-15,33,False
2023-01-22,23,False
2023-01-29,44,False
2023-02-05,39,False
2023-02-12,56,False
2023-02-19,53,False
2023-02-26,42,False
2023-03-05,56,False
2023-03-12,60,False
2023-03-19,98,False
2023-03-26,77,False
2023-04-02,100,False
2023-04-09,82,False
2023-04-16,73,False
2023-04-23,60,False
2023-04-30,58,False
2023-05-07,64,False
2023-05-14,40,False
2023-05-21,40,False
2023-05-28,41,False
2023-06-04,32,False
2023-06-11,44,False
2023-06-18,38,False
2023-06-25,37,False
2023-07-02,38,False
2023-07-09,40,False
2023-07-16,42,False
2023-07-23,78,False
2023-07-30,46,False
2023-08-06,40,False
2023-08-13,38,False
2023-08-20,37,False
2023-08-27,44,False
2023-09-03,59,False
2023-09-10,64,False
2023-09-17,38,False
2023-09-24,36,False
2023-10-01,37,False
2023-10-08,38,False
2023-10-15,42,False
2023-10-22,47,False
2023-10-29,36,False
2023-11-05,41,False
2023-11-12,41,False
2023-11-19,46,False
2023-11-26,32,False
2023-12-03,32,False
2023-12-10,28,False
2023-12-17,34,False
2023-12-24,18,False
2023-12-31,40,False
2024-01-07,24,False
2024-01-14,27,False
2024-01-21,36,False
2024-01-28,33,False
2024-02-04,27,False
2024-02-11,35,False
2024-02-18,34,False
2024-02-25,29,False
2024-03-03,41,False
2024-03-10,42,False
2024-03-17,45,False
2024-03-24,47,False
2024-03-31,31,False
2024-04-07,33,False
2024-04-14,31,False
2024-04-21,25,False
2024-04-28,41,False
2024-05-05,32,False
2024-05-12,41,False
2024-05-19,37,False
2024-05-26,34,False
2024-06-02,28,False
2024-06-09,43,False
2024-06-16,42,False
2024-06-23,39,False
2024-06-30,36,False
2024-07-07,23,False
2024-07-14,25,False
2024-07-21,27,False
2024-07-28,26,False
2024-08-04,23,False
2024-08-11,28,False
2024-08-18,27,False
2024-08-25,29,False
2024-09-01,25,False
2024-09-08,27,False
2024-09-15,38,False
2024-09-22,45,False
2024-09-29,19,False
2024-10-06,30,False
2024-10-13,37,False
2024-10-20,26,False
2024-10-27,31,False
2024-11-03,23,False
2024-11-10,25,False
2024-11-17,39,False
2024-11-24,34,False
2024-12-01,21,False
2024-12-08,26,False
2024-12-15,28,False
2024-12-22,14,False
2024-12-29,12,False
2025-01-05,22,False
2025-01-12,21,False
2025-01-19,25,False
2025-01-26,0,False
2025-02-02,27,False
2025-02-09,23,False
2025-02-16,17,False
2025-02-23,21,False
2025-03-02,24,False
2025-03-09,38,False
2025-03-16,37,False
2025-03-23,30,False
2025-03-30,24,False
2025-04-06,32,False
2025-04-13,27,False
2025-04-20,30,False
2025-04-27,28,False
2025-05-04,19,False
2025-05-11,19,False
2025-05-18,22,False
2025-05-25,22,False
2025-06-01,17,False
2025-06-08,23,False
2025-06-15,21,False
2025-06-22,24,False
2025-06-29,14,False
2025-07-06,26,False
2025-07-13,37,False
2025-07-20,25,False
2025-07-27,29,False
2025-08-03,27,False
2025-08-10,29,False
2025-08-17,14,False
2025-08-24,24,False
2025-08-31,27,False
2025-09-07,27,False
2025-09-14,24,False
2025-09-21,17,False
2025-09-28,22,False
2025-10-05,24,False
2025-10-12,27,False
2025-10-19,24,False
2025-10-26,41,False
2025-11-02,56,False
2025-11-09,43,False
2025-11-16,38,False
2025-11-23,30,False
2025-11-30,35,False
2025-12-07,34,False
2025-12-14,26,False
2025-12-21,17,False
2025-12-28,23,False
2026-01-04,36,False
2026-01-11,23,False
2026-01-18,29,False
2026-01-25,38,False
2026-02-01,34,False
2026-02-08,33,False
2026-02-15,12,False
2026-02-22,30,False
2026-03-01,30,False
2026-03-08,35,False
2026-03-15,29,False
2026-03-22,34,False
2026-03-29,35,False
2026-04-05,38,False
2026-04-12,27,False
2026-04-19,44,False
2026-04-26,45,False
2026-05-03,69,False
2026-05-10,61,False
2026-05-17,30,False
2026-05-24,57,False
2026-05-31,41,False
2026-06-07,39,False
2026-06-14,38,False
2026-06-21,30,False
2026-06-28,43,False
2026-07-05,28,False
2026-07-12,19,False
2026-07-19,27,False
2026-07-26,19,False
2026-08-02,25,False
2026-08-09,27,False
2026-08-16,13,False
2026-08-23,15,False
2026-08-30,18,False
2026-09-06,14,False
2026-09-13,18,True
