date,삼천당제약,isPartial
2022-06-26,0,False
2022-07-03,0,False
2022-07-10,0,False
2022-07-17,0,False
2022-07-24,0,False
2022-07-31,0,False
2022-08-07,0,False
2022-08-14,0,False
2022-08-21,0,False
2022-08-28,0,False
2022-09-04,1,False
2022-09-11,0,False
2022-09-18,0,False
2022-09-25,0,False
2022-10-02,0,False
2022-10-09,0,False
2022-10-16,0,False
2022-10-23,0,False
2022-10-30,0,False
2022-11-06,0,False
2022-11-13,0,False
2022-11-20,0,False
2022-11-27,1,False
2022-12-04,1,False
2022-12-11,0,False
2022-12-18,0,False
2022-12-25,0,False
2023-01-01,0,False
2023-01-08,0,False
2023-01-15,0,False
2023-01-22,0,False
2023-01-29,1,False
2023-02-05,0,False
2023-02-12,0,False
2023-02-19,0,False
2023-02-26,0,False
2023-03-05,0,False
2023-03-12,1,False
2023-03-19,0,False
2023-03-26,1,False
2023-04-02,1,False
2023-04-09,1,False
2023-04-16,1,False
2023-04-23,1,False
2023-04-30,1,False
2023-05-07,1,False
2023-05-14,0,False
2023-05-21,0,False
2023-05-28,0,False
2023-06-04,0,False
2023-06-11,0,False
2023-06-18,0,False
2023-06-25,0,False
2023-07-02,0,False
2023-07-09,0,False
2023-07-16,0,False
2023-07-23,0,False
2023-07-30,0,False
2023-08-06,0,False
2023-08-13,0,False
2023-08-20,1,False
2023-08-27,1,False
2023-09-03,0,False
2023-09-10,1,False
2023-09-17,0,False
2023-09-24,0,False
2023-10-01,0,False
2023-10-08,0,False
2023-10-15,0,False
2023-10-22,0,False
2023-10-29,0,False
2023-11-05,0,False
2023-11-12,1,False
2023-11-19,1,False
2023-11-26,1,False
2023-12-03,0,False
2023-12-10,0,False
2023-12-17,0,False
2023-12-24,0,False
2023-12-31,0,False
2024-01-07,1,False
2024-01-14,0,False
2024-01-21,0,False
2024-01-28,1,False
2024-02-04,0,False
2024-02-11,0,False
2024-02-18,1,False
2024-02-25,0,False
2024-03-03,0,False
2024-03-10,1,False
2024-03-17,0,False
2024-03-24,2,False
2024-03-31,2,False
2024-04-07,1,False
2024-04-14,1,False
2024-04-21,1,False
2024-04-28,1,False
2024-05-05,1,False
2024-05-12,1,False
2024-05-19,1,False
2024-05-26,1,False
2024-06-02,0,False
2024-06-09,1,False
2024-06-16,2,False
2024-06-23,1,False
2024-06-30,2,False
2024-07-07,2,False
2024-07-14,2,False
2024-07-21,1,False
2024-07-28,1,False
2024-08-04,1,False
2024-08-11,1,False
2024-08-18,1,False
2024-08-25,1,False
2024-09-01,1,False
2024-09-08,1,False
2024-09-15,0,False
2024-09-22,1,False
2024-09-29,0,False
2024-10-06,1,False
2024-10-13,0,False
2024-10-20,1,False
2024-10-27,0,False
2024-11-03,1,False
2024-11-10,1,False
2024-11-17,0,False
2024-11-24,1,False
2024-12-01,1,False
2024-12-08,0,False
2024-12-15,1,False
2024-12-22,2,False
2024-12-29,1,False
2025-01-05,1,False
2025-01-12,1,False
2025-01-19,1,False
2025-01-26,0,False
2025-02-02,2,False
2025-02-09,1,False
2025-02-16,1,False
2025-02-23,1,False
2025-03-02,1,False
2025-03-09,1,False
2025-03-16,1,False
2025-03-23,1,False
2025-03-30,0,False
2025-04-06,1,False
2025-04-13,1,False
2025-04-20,1,False
2025-04-27,0,False
2025-05-04,0,False
2025-05-11,1,False
2025-05-18,1,False
2025-05-25,1,False
2025-06-01,0,False
2025-06-08,1,False
2025-06-15,1,False
2025-06-22,1,False
2025-06-29,1,False
2025-07-06,1,False
2025-07-13,1,False
2025-07-20,3,False
2025-07-27,2,False
2025-08-03,1,False
2025-08-10,0,False
2025-08-17,1,False
2025-08-24,2,False
2025-08-31,1,False
2025-09-07,1,False
2025-09-14,1,False
2025-09-21,2,False
2025-09-28,1,False
2025-10-05,1,False
2025-10-12,1,False
2025-10-19,1,False
2025-10-26,1,False
2025-11-02,2,False
2025-11-09,2,False
2025-11-16,1,False
2025-11-23,1,False
2025-11-30,1,False
2025-12-07,1,False
2025-12-14,1,False
2025-12-21,2,False
2025-12-28,1,False
2026-01-04,2,False
2026-01-11,3,False
2026-01-18,3,False
2026-01-25,4,False
2026-02-01,4,False
2026-02-08,3,False
2026-02-15,3,False
2026-02-22,12,False
2026-03-01,7,False
2026-03-08,5,False
2026-03-15,10,False
2026-03-22,23,False
2026-03-29,64,False
2026-04-05,100,False
2026-04-12,61,False
2026-04-19,58,False
2026-04-26,13,False
2026-05-03,77,False
2026-05-10,8,False
2026-05-17,10,False
2026-05-24,15,False
2026-05-31,7,False
2026-06-07,10,False
2026-06-14,5,False
2026-06-21,5,False
2026-06-28,12,False
2026-07-05,5,False
2026-07-12,5,False
2026-07-19,51,False
2026-07-26,15,False
2026-08-02,3,False
2026-08-09,7,True
