date,ticker,category,title,source_url,note
2022-08-04,086520,report,"에코프로비엠, 2026년까지 실적 가시성 확보 근거 목표주가 상향 리포트 보도",https://view.asiae.co.kr/article/2022080408021963897,2차전지 성장 서사 형성기(그룹 핵심 자회사 리포트)
2023-03-14,086520,short_report,"에코프로, 숏스퀴즈 나올까…공매도에도 고공행진",https://www.ntoday.co.kr/news/articleView.html?idxno=96597,공매도 잔고 공론화·숏스퀴즈 서사 부상
2023-03-23,086520,news,"공매도 박살 종토방 들썩…에코프로로 집결한 개미들",https://www.hankyung.com/article/2023032377236,개인 순매수 급증과 반공매도 정서 결합
2023-04-05,086520,youtube,"'배터리 아저씨' 박순혁 ""전기차 주역 테슬라·中 아닌 K배터리"" 인터뷰",https://edaily.co.kr/news/read?mediaCodeNo=257&newsId=01246406635573168,K배터리 레볼루션 저자 인플루언서 서사 확산기
2023-04-12,086520,report,"하나증권 김현수, 국내 증권사 첫 에코프로 매도 리포트 ""위대한 기업이나 좋은 주식 아냐""",http://www.investchosun.com/site/data/html_dir/2023/04/12/2023041280086.html,서사 대 밸류에이션 충돌의 상징적 이벤트
2023-05-11,086520,news,"이동채 에코프로 회장 2심 법정구속…2차전지주 하락",https://news.mt.co.kr/mtview.php?no=2023051116500047408,악재에도 서사 지속 여부 시험대
2023-05-12,086520,news,"5월 MSCI 정기변경서 에코프로 편입 불발",https://www.infostockdaily.co.kr/news/articleView.html?idxno=191798,편입 기대 서사 1차 좌절
2023-07-14,086520,news,"다가온 MSCI 8월 정기변경…에코프로 편입 유력 보도",http://news.bizwatch.co.kr/article/market/2023/07/14/0019,패시브 자금 유입 기대 서사 재점화
2023-07-18,086520,news,"에코프로 또 사상 최고가…에코프로비엠 제치고 코스닥 시총 1위 등극",https://economist.co.kr/article/view/ecn202307180009,급등 절정 구간 진입
2023-07-26,086520,news,"황제주 에코프로, 장중 150만원대 터치…또 신고가 달성",https://kr.investing.com/news/stock-market-news/article-929365,서사 사이클 정점(장중 153.6만원)
2023-07-27,086520,news,"에코프로, 장중 100만원대까지 하락…'황제주' 신화 끝?",https://kr.investing.com/news/stock-market-news/article-929906,정점 직후 초변동성 국면
2023-07-28,086520,news,"에코프로 '황제주' 복귀했지만…떨고 있는 개미들",https://mobile.newsis.com/view/NISX20230728_0002394963,고점 공방과 개인 심리 동요
2023-08-11,086520,news,"MSCI 지수 편입 확정 호재에도 에코프로 주가 주춤",https://www.hankookilbo.com/News/Read/A2023081115480002422,재료 소멸형 반응·서사 피로 신호
2023-09-25,086520,news,"황제주 반납한 에코프로…한 달 만에 시총 8조원 증발",https://kr.investing.com/news/stock-market-news/article-949494,하락기 본격화 보도
2023-11-05,086520,policy,"금융당국, 2024년 상반기까지 공매도 전면 금지 발표",https://www.ytn.co.kr/_ln/0102_202311051736554633,공매도 정책 개입…2차전지 단기 반등 촉발
2023-11-08,086520,report,"하나증권 두 번째 에코프로 매도 리포트 ""변동성 전투 참전은 벌금""",https://kr.investing.com/news/stock-market-news/article-964893,공매도 금지 직후 재차 밸류에이션 경고
2023-04-05,001570,youtube,"금양 홍보이사 박순혁, K배터리 레볼루션 서사 전파 인터뷰",https://edaily.co.kr/news/read?mediaCodeNo=257&newsId=01246406635573168,밧데리 아저씨와 금양 서사의 결합
2023-05-10,001570,news,"금양, 몽골 광산회사 몬라 지분 6000만불 인수 추진 MOU",https://www.smarttoday.co.kr/news/articleView.html?idxno=29854,몽골 리튬 광산 서사 개시
2023-05-16,001570,news,"'배터리 아저씨' 박순혁, 금양 사퇴…""거래소 사퇴 압박"" 주장",https://www.asiae.co.kr/article/2023051607455366720,인플루언서-회사 결별 이벤트
2023-05-18,001570,news,"금양, 코스피200·KRX300 지수 편입",https://www.joseilbo.com/news/htmls/2023/05/20230518487084.html,2023 급등에 따른 지수 편입
2023-06-08,001570,news,"금양, 몽골 몬라 광산 지분 40% 523억원에 인수",https://dealsite.co.kr/articles/104961,리튬 자원 서사 실행 단계 보도
2024-03-05,001570,news,"금양, '꿈의 이차전지' 4695 배터리 국내 최초 개발 성공 발표",https://news.nate.com/view/20240305n08568,양산·고객사 불확실 속 기술 서사 정점
2024-10-04,001570,disclosure,"금양, 몽골 광산 매출 전망 4024억→66억 정정…불성실공시법인 지정 예고",https://www.hankyung.com/article/2024100440406,몽골 서사 붕괴의 결정적 공시 정정
2024-10-28,001570,disclosure,"금양, 불성실공시법인 지정…벌점·제재금·거래정지 처분",https://m.dnews.co.kr/m_home/view.jsp?idxno=202410282349393990553,신뢰 붕괴 공식화
2025-03-24,001570,disclosure,"금양, 감사보고서 '의견 거절'…상장폐지 사유 발생",https://biz.heraldcorp.com/article/10448529,몰락 단계(거래정지 수순)
2026-05-20,001570,news,"거래소, 금양 상장폐지 결정…'이차전지 신화'의 몰락",https://www.kyeonggi.com/article/20260520580561,서사 사이클 종결
2022-12-02,000250,news,"삼천당제약, 본계약 아닌 '바인딩 텀싯' 공시…투자자 유의 지적",https://edaily.co.kr/News/Read?mediaCodeNo=257&newsId=01092246632554584,텀싯 공시 논란의 원형
2023-11-21,000250,news,"[특징주] 삼천당제약, 아일리아 바이오시밀러 유럽 5개국 계약 소식에 강세",https://m.news.nate.com/view/20231121n06240,유럽 진출 서사 형성기
2024-03-25,000250,disclosure,"삼천당제약, 아일리아 시밀러 서유럽 9개국 독점 공급 공시에 상한가",https://www.etnews.com/20240325000046,독점 공급 공시가 촉발한 1차 급등
2026-03-24,000250,news,"삼천당제약, 코스닥 시총 1위 등극…바이오 랠리 기대감",https://news.nate.com/view/20260324n04024,2026년 초 급등 국면 정점
2026-03-27,000250,news,"코스닥 1위 올라선 삼천당제약…400% 급등 속 고점 우려",https://www.newsis.com/view/NISX20260327_0003566609,과열 경고 보도 병행
2026-04-22,000250,disclosure,"주가 반토막 삼천당제약, 결국 불성실공시법인 지정",https://v.daum.net/v/20260422003705977,상습 정정공시 논란의 공식 제재
2026-07-21,000250,news,"'300% 급등 믿었는데 하한가'…삼천당제약 86% 폭락",https://biz.heraldcorp.com/article/10815369,급락기 개인 손실 서사
2026-07-21,000250,policy,"상한가 뒤 하루 만에 하한가 오간 삼천당제약…금감원 예의주시",https://www.seoul.co.kr/news/economy/securities/2026/07/21/20260721500326,금융당국 개입 국면
